name,maker,model,year,location,price,mileage,date,image_url,listing_url
Daihatsu Charade,Daihatsu,Charade,1987,Horana,595000,90000,2025-02-23,"https://riyasewana.com/thumb/thumbdaihatsu-
chared-1987-2311195812741.jpg",https://riyasewana.com/cars/daihatsu-charade-1987-horana-rs-595-000-90-000-km-2025-02-23
Mitsubishi Lancer Box,Mitsubishi,Lancer Box,1985,Homagama,875000,1111,2025-02-23,"https://riyasewana.com/thumb/thumbmitsubishi-
lancer-box-2310103022191.jpg",https://riyasewana.com/cars/mitsubishi-lancer-box-1985-homagama-rs-875-000-1111-km-2025-02-23
Toyota Dx Wagon 72 1988 Car,Toyota,Dx Wagon 72,1988,Gampaha,550000,2025,2025-02-23,"https://riyasewana.com/thumb/thumbtoyota-dx-
wagan-231308154451.jpg",https://riyasewana.com/cars/toyota-dx-wagon-72-1988-car-gampaha-rs-550000-2025-02-23
Toyota KE50 1976 Car,Toyota,KE50,1976,Nittambuwa,375000,12458,2025-02-23,"https://riyasewana.com/thumb/thumbtoyota-
ke-50-231219154031.jpg",https://riyasewana.com/cars/toyota-ke50-1976-car-nittambuwa-rs-375000-12458-km-2025-02-23
Nissan SB11 Disal 1986 Car,Nissan,SB11 Disal,1986,Kadawatha,970000,32555,2025-02-23,"https://riyasewana.com/thumb/thumbnissan-
sb-11-1986-2312191112301.jpg",https://riyasewana.com/cars/nissan-sb11-disal-1986-car-kadawatha-rs-970000-32555-km-2025-02-23
Suzuki Spacia 2017 Car,Suzuki,Spacia,2017,Kadugannawa,670000,105000,2025-02-23,"https://riyasewana.com/thumb/thumbsuzuki-
spacia-2312020722661.jpg",https://riyasewana.com/cars/suzuki-spacia-2017-car-kadugannawa-rs-670000-105000-km-2025-02-23
Nissan B11 1983 Car,Nissan,B11,1983,Malabe,,,2025-02-23,https://riyasewana.com/thumb/thumbnissan-b-11-23115104431.jpg,https://riyasewana.com/cars/nissan-b11-1983-car-malabe-rs-null-null-km-2025-02-23
Nissan B11 1983 Car,Nissan,B11,1983,Malabe,,,,https://riyasewana.com/thumb/thumbnissan-b-11-23115104431.jpg,https://riyasewana.com/cars/nissan-b11-1983-car-malabe-rs-null-null-km-null
Daihatsu Mira,Daihatsu,Mira,1989,Kalutara,790000,185000,2025-02-23,<https://riyasewana.com/thumb/thumbdaihatsu-mira-2309044891.jpg>,<https://riyasewana.com/thumb/thumbdaihatsu-mira-2309044891.jpg>
Nissan Sunny B211,Nissan,Sunny B211,1980,Kandy,695000,234890,2025-02-23,<https://riyasewana.com/thumb/thumbnissan-sunny-b211-1980-239061212431.jpg>,<https://riyasewana.com/thumb/thumbnissan-sunny-b211-1980-239061212431.jpg>
Morris Minor,Morris,Minor,1953,Mawanella,900000,100000,2025-02-23,<https://riyasewana.com/thumb/thumbmorris-minor-1953-238533412721.jpg>,<https://riyasewana.com/thumb/thumbmorris-minor-1953-238533412721.jpg>
Mitsubishi Lancer Fiore,Mitsubishi,Lancer Fiore,1986,Kaduwela,775000,175000,2025-02-23,<https://riyasewana.com/thumb/thumbmitsubishi-lancer-fiore-238435961.jpg>,<https://riyasewana.com/thumb/thumbmitsubishi-lancer-fiore-238435961.jpg>
Nissan Sunny B310 1983 Car,Nissan,Sunny B310,1983,Middeniya,480000,123,2025-02-23,https://riyasewana.com/thumb/thumbnissan-sunny-b310-23824174611.jpg,https://riyasewana.com/cars/nissan-sunny-b310-1983-car-middeniya-rs-480000-123-km-2025-02-23
Nissan B110 1971 Car,Nissan,B110,1971,Gampaha,360000,85639,2025-02-23,https://riyasewana.com/thumb/thumbnissan-b110-1971-238053712511.jpg,https://riyasewana.com/cars/nissan-b110-1971-car-gampaha-rs-360000-85639-km-2025-02-23
Toyota Corona 150 1984 Car,Toyota,Corona 150,1984,Kadawatha,800000,5555662,2025-02-23,https://riyasewana.com/thumb/thumbtoyota-corona-150-237514221.jpg,https://riyasewana.com/cars/toyota-corona-150-1984-car-kadawatha-rs-800000-5555662-km-2025-02-23
Nissan AD Wagon 1985 Car,Nissan,AD Wagon,1985,Kiribathgoda,650000,175743,2025-02-23,https://riyasewana.com/thumb/thumbnissan-ad-wagon-1985-237502812051.jpg,https://riyasewana.com/cars/nissan-ad-wagon-1985-car-kiribathgoda-rs-650000-175743-km-2025-02-23
Mitsubishi Lancer Tradiea,Mitsubishi,Lancer,1983,Matara,375000,110000,2025-02-23,https://riyasewana.com/thumb/thumbmitsubishi-lancer-tradiea-1983-237112012341.jpg,https://riyasewana.com/cars/mitsubishi-lancer-tradiea-1983-237112012341
Toyota Lancer Flat Light,Toyota,Lancer,1979,Kandy,490000,25553,2025-02-23,https://riyasewana.com/thumb/thumbtoyota-lancer-flat-light-1979-237014412581.jpg,https://riyasewana.com/cars/toyota-lancer-flat-light-1979-237014412581
Mitsubishi Lancer Feori,Mitsubishi,Lancer,1986,Kurunegala,500000,11111,2025-02-22,https://riyasewana.com/thumb/thumbmitsubishi-lancer-feori-222256264641.jpg,https://riyasewana.com/cars/mitsubishi-lancer-feori-222256264641
Peugeot 504,Peugeot,504,1976,Dehiwala-Mount-Lavinia,400000,20220,2025-02-22,https://riyasewana.com/thumb/thumbpeugeot-504-1976-2222103612831.jpg,https://riyasewana.com/cars/peugeot-504-1976-2222103612831
Volkswagen Jetta,Volkswagen,Jetta,1987,Malabe,725000,475000,1987,https://riyasewana.com/thumb/thumbvolkswagen-jetta-222148244552.jpg,https://riyasewana.com/cars/volkswagen-jetta-222148244552
