name,location,price,mileage,date,image_url,listing_url
Toyota Axio WXB 2017,Colombo,13750000,84000,2025-02-16,https://riyasewana.com/thumbtoyota-axio-wxb-919155617231.jpg,https://riyasewana.com/search/cars/price-6000000-9000000
Toyota Axio G Grade 2008,Panadura,,137000,2025-02-13,https://riyasewana.com/thumb/thumbtoyota-axio-g-2008-1815195612411.jpg,https://riyasewana.com/search/cars/price-6000000-9000000
Toyota GLI 141 Corolla 2012,Colombo,,128000,2025-02-16,https://riyasewana.com/thumb/thumbtoyota-gli-141-151453584911.jpg,https://riyasewana.com/search/cars/price-6000000-9000000
Daihatsu Mira 2016,Piliyandala,,81100,2025-02-14,https://riyasewana.com/thumb/thumbdaihatsu-mira-14121215241.jpg,https://riyasewana.com/search/cars/price-6000000-9000000
Daihatsu Mira 2016,Piliyandala,,81100,2025-02-14,https://riyasewana.com/thumb/thumbdaihatsu-mira-14121215241.jpg,https://riyasewana.com/search/cars/price-6000000-9000000
Toyota AQUA S 2014,Ja-Ela,7850000,148000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-aqua-171924564201.jpg,https://riyasewana.com/cars/toyota-aqua-s-2014-171924564201
Honda Fit Gp1 2012,Piliyandala,6375000,139000,2025-02-17,https://riyasewana.com/thumb/thumbhonda-fit-gp1-2012-1719171412311.jpg,https://riyasewana.com/cars/honda-fit-gp1-2012-1719171412311
Toyota Camry G Limited 2006,Chilaw,8700000,150000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-camry-g-1718455122591.jpg,https://riyasewana.com/cars/toyota-camry-g-limited-2006-1718455122591
Mercedes-Benz C200 2001,Kandy,7250000,164500,2025-02-17,https://riyasewana.com/thumb/thumbmercedes-benz-c200-2001-1718380512401.jpg,https://riyasewana.com/cars/mercedes-benz-c200-2001-1718380512401
Toyota Axio Luxel ZRE 142 2007,Gampola,6125000,151000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-zre-142-2007-1718075812551.jpg,https://riyasewana.com/cars/toyota-axio-luxel-zre-142-2007-1718075812551
Suzuki Wagon R 2019,Marawila,7585000,197000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-17175732321.jpg,https://riyasewana.com/cars/suzuki-wagon-r-2019-17175732321
Toyota Allion 240 2004,Kurunegala,6950000,210000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-allion-240-2004-1717554612271.jpg,https://riyasewana.com/cars/toyota-allion-240-2004-1717554612271
Suzuki Wagon R Stingray 2017,Gampaha,6475000,,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-1717422522261.jpg,https://riyasewana.com/cars/suzuki-wagon-r-stingray-2017-1717422522261
Suzuki Wagon R Stingray 2017,Gampaha,6475000,,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-1717422522261.jpg,https://riyasewana.com/cars/suzuki-wagon-r-stingray-2017-1717422522261
Honda Insight 2009,Gampaha,6850000,144000,2025-02-17,https://riyasewana.com/thumb/thumbhonda-insight-2009-171837041541.jpg,https://riyasewana.com/car/honda-insight-2009-gampaha-171837041541
Suzuki Wagon R FZ 2017,Kandy,6000000,140000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2017-1718253212701.jpg,https://riyasewana.com/car/suzuki-wagon-r-fz-2017-kandy-1718253212701
Toyota Aqua 012,Polonnaruwa,6750000,161000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-aqua-1718215722371.jpg,https://riyasewana.com/car/toyota-aqua-012-polonnaruwa-1718215722371
Suzuki WAGON R 2018,Piliyandala,6975000,67000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-17181845651.jpg,https://riyasewana.com/car/suzuki-wagon-r-2018-piliyandala-17181845651
Toyota YARIS 2007,Piliyandala,,,,https://riyasewana.com/thumb/toyota-yaris-1718139581.jpg,https://riyasewana.com/car/toyota-yaris-2007-piliyandala-171813958
Toyota YARIS 2007,Piliyandala,,,,https://riyasewana.com/thumb/toyota-yaris-1718139581.jpg,https://riyasewana.com/car/toyota-yaris-2007-piliyandala-1718139581
Suzuki Fz Wagon R,Ja-Ela,6385000,88000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-fz-wagen-2017-1716372112471.jpg,https://riyasewana.com/cars/suzuki-fz-wagon-r-2017-1716372112471
Suzuki Wagon R FZ,Malabe,6690000,96000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-17162734991.jpg,https://riyasewana.com/cars/suzuki-wagon-r-fz-2018-17162734991
Suzuki Spacia,Galle,6600000,75000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-spacia-castom-171621595001.jpg,https://riyasewana.com/cars/suzuki-spacia-2016-171621595001
Honda FIT GP1 Navi Premium,Nuwara-Eliya,7650000,160000,2025-02-17,https://riyasewana.com/thumb/thumbhonda-gp1-navi-2013-1510283112251.jpg,https://riyasewana.com/cars/honda-fit-gp1-navi-premium-2013-1510283112251
Toyota Corolla 121 X 2003,Wattala,6300000,225000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-121-x-2003-1716191412221.jpg,https://riyasewana.com/cars/toyota-corolla-121-x-2003-wattala-1716191412221
Toyota Allion 260 2008,Kandy,8790000,146000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-allion-260-171607374101.jpg,https://riyasewana.com/cars/toyota-allion-260-kandy-171607374101
Toyota Allion 240 2003,Malabe,7490000,164520,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-allion-240-17155018181.jpg,https://riyasewana.com/cars/toyota-allion-240-malabe-17155018181
Suzuki Wagon R FZ Premium 2018,Kadawatha,6650000,95000,2025-02-17,https://riyasewana.com/thumb/thumbsuzuki-wagon-r-2018-1612211312681.jpg,https://riyasewana.com/cars/suzuki-wagon-r-fz-premium-2018-kadawatha-1612211312681
Toyota Axio X Grade 2007,Anuradapura,7300000,82000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-axio-x-17172644291.jpg,https://riyasewana.com/cars/toyota-axio-x-grade-2007-17172644291.html
Suzuki STINGRAY 30000 KM 2017,Ampara,7450000,30000,2025-02-17,https://riyasewana.com/thumb/thumbno_100.jpg,https://riyasewana.com/cars/suzuki-stingray-30000-km-2017-17172644291.html
Toyota Yaris 2008,Colombo,6550000,137000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-yaris-11171239191.jpg,https://riyasewana.com/cars/toyota-yaris-2008-11171239191.html
Perodua Bezza 2018,Katunayake,6750000,75000,2025-02-17,https://riyasewana.com/thumb/thumbperodua-bezza-31195530441.jpg,https://riyasewana.com/cars/perodua-bezza-2018-31195530441.html
Perodua Bezza 2018,Katunayake,6750000,75000,2025-02-17,https://riyasewana.com/thumb/thumbperodua-bezza-31195530441.jpg,https://riyasewana.com/cars/perodua-bezza-2018-31195530441.html
Mitsubishi Lancer Box 1980 Car,Hanwella,6900000,1,2025-02-17,https://riyasewana.com/thumb/thumbmitsubishi-lancer-box-17154061.jpg,https://riyasewana.com/cars/mitsubishi-lancer-box-1980-hanwella-rs-6900000-1-km-2025-02-17
Toyota Fit Gp5 Safety 2014 Car,Matara,7950000,121000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-gp5-safety-1715021824191.jpg,https://riyasewana.com/cars/toyota-fit-gp5-safety-2014-matara-rs-7950000-121000-km-2025-02-17
Toyota VITZ 2016 Car,Malabe,7990000,66000,2025-02-17,https://riyasewana.com/thumb/thumbtoyota-vitz-17145818751.jpg,https://riyasewana.com/cars/toyota-vitz-2016-malabe-rs-7990000-66000-km-2025-02-17
